region,variant,year,population
world,medium,2010,6916183.00
world,medium,2011,6997999.00
world,medium,2012,7080072.00
world,medium,2013,7162119.00
world,medium,2014,7243784.00
world,medium,2015,7324782.00
world,medium,2016,7404977.00
world,medium,2017,7484325.00
world,medium,2018,7562760.00
world,medium,2019,7640245.00
world,medium,2020,7716749.00
world,medium,2021,7792209.00
world,medium,2022,7866580.00
world,medium,2023,7939877.00
world,medium,2024,8012143.00
world,medium,2025,8083413.00
world,medium,2026,8153677.00
world,medium,2027,8222927.00
world,medium,2028,8291193.00
world,medium,2029,8358519.00
world,medium,2030,8424937.00
world,medium,2031,8490456.00
world,medium,2032,8555068.00
world,medium,2033,8618774.00
world,medium,2034,8681569.00
world,medium,2035,8743447.00
world,medium,2036,8804406.00
world,medium,2037,8864437.00
world,medium,2038,8923515.00
world,medium,2039,8981607.00
world,medium,2040,9038687.00
world,medium,2041,9094744.00
world,medium,2042,9149769.00
world,medium,2043,9203741.00
world,medium,2044,9256636.00
world,medium,2045,9308438.00
world,medium,2046,9359140.00
world,medium,2047,9408741.00
world,medium,2048,9457241.00
world,medium,2049,9504640.00
world,medium,2050,9550945.00
world,medium,2051,9596160.00
world,medium,2052,9640298.00
world,medium,2053,9683379.00
world,medium,2054,9725430.00
world,medium,2055,9766475.00
world,medium,2056,9806530.00
world,medium,2057,9845615.00
world,medium,2058,9883762.00
world,medium,2059,9921012.00
world,medium,2060,9957399.00
world,medium,2061,9992942.00
world,medium,2062,10027657.00
world,medium,2063,10061562.00
world,medium,2064,10094674.00
world,medium,2065,10127007.00
world,medium,2066,10158579.00
world,medium,2067,10189402.00
world,medium,2068,10219473.00
world,medium,2069,10248787.00
world,medium,2070,10277339.00
world,medium,2071,10305146.00
world,medium,2072,10332223.00
world,medium,2073,10358578.00
world,medium,2074,10384216.00
world,medium,2075,10409149.00
world,medium,2076,10433385.00
world,medium,2077,10456949.00
world,medium,2078,10479893.00
world,medium,2079,10502280.00
world,medium,2080,10524161.00
world,medium,2081,10545553.00
world,medium,2082,10566461.00
world,medium,2083,10586905.00
world,medium,2084,10606904.00
world,medium,2085,10626467.00
world,medium,2086,10645602.00
world,medium,2087,10664298.00
world,medium,2088,10682524.00
world,medium,2089,10700238.00
world,medium,2090,10717401.00
world,medium,2091,10733987.00
world,medium,2092,10749980.00
world,medium,2093,10765365.00
world,medium,2094,10780130.00
world,medium,2095,10794252.00
world,medium,2096,10807703.00
world,medium,2097,10820442.00
world,medium,2098,10832420.00
world,medium,2099,10843579.00
world,medium,2100,10853849.00
